status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,default,amount_duration_ratio,age_bucket,log_amount,duration_squared,high_installment,amount_per_person,senior_flag,young_flag,multiple_credits,long_duration
no checking account,24,existing credits paid back duly till now,domestic appliances,1533,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,38,stores,own,1,skilled employee/official,1,yes,yes,1,1,63.875,31-45,7.334981878871814,576,1,1533.0,0,0,0,1
... < 100 DM,14,existing credits paid back duly till now,car (new),8978,... < 100 DM,... >= 7 years,1,male : divorced/separated,none,4,building society savings agreement/life insurance,45,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,no,0,0,641.2857142857143,31-45,9.102532419341877,196,0,8978.0,0,0,0,0
no checking account,24,existing credits paid back duly till now,domestic appliances,999,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1,1,41.625,18-30,6.906754778648554,576,1,999.0,0,0,1,1
no checking account,18,existing credits paid back duly till now,car (new),2662,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,no,1,1,147.88888888888889,31-45,7.8868329989550565,324,1,2662.0,0,0,0,0
no checking account,12,critical account/other credits existing,radio/television,1402,500 <= ... < 1000 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,car or other,37,none,rent,1,skilled employee/official,1,yes,yes,1,1,116.83333333333333,31-45,7.2456550675945355,144,1,1402.0,0,0,0,0
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/no savings account,unemployed,4,male : single,co-applicant,4,unknown/no property,36,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,253.52083333333334,31-45,9.4066470133368,2304,1,12169.0,0,0,0,1
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3060,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,real estate,28,none,own,2,skilled employee/official,1,no,yes,0,0,63.75,18-30,8.026170194946426,2304,1,3060.0,0,0,1,1
... < 100 DM,30,existing credits paid back duly till now,education,11998,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown/no property,34,none,own,1,unskilled - resident,1,yes,yes,0,0,399.93333333333334,31-45,9.392495248213038,900,0,11998.0,0,0,0,1
no checking account,9,existing credits paid back duly till now,domestic appliances,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee/official,2,no,yes,1,1,299.6666666666667,31-45,7.89989532313973,81,0,1348.5,0,0,0,0
no checking account,18,critical account/other credits existing,domestic appliances,2404,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,26,none,own,2,skilled employee/official,1,no,yes,1,1,133.55555555555554,18-30,7.784889295655098,324,0,2404.0,0,0,1,0
... < 100 DM,12,existing credits paid back duly till now,radio/television,1262,unknown/no savings account,... >= 7 years,2,male : divorced/separated,none,4,building society savings agreement/life insurance,49,none,own,1,unskilled - resident,1,yes,yes,1,1,105.16666666666667,46-60,7.140453043101158,144,0,1262.0,0,0,0,0
no checking account,6,existing credits paid back duly till now,radio/television,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,0,768.5,31-45,8.436200032206706,36,0,4611.0,0,0,0,0
no checking account,24,existing credits paid back duly till now,domestic appliances,1901,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,29,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,79.20833333333333,18-30,7.550135342488429,576,1,1901.0,0,0,0,1
no checking account,15,critical account/other credits existing,car (used),3368,... >= 1000 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,none,rent,2,skilled employee/official,1,yes,yes,1,1,224.53333333333333,18-30,8.122074375362217,225,1,3368.0,0,1,1,0
no checking account,12,existing credits paid back duly till now,radio/television,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee/official,1,no,yes,1,1,131.16666666666666,46-60,7.3613754289773485,144,1,1574.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,18,all credits at this bank paid back duly,domestic appliances,1445,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,4,car or other,49,bank,own,1,unskilled - resident,1,no,yes,1,1,80.27777777777777,46-60,7.275864600546533,324,1,1445.0,0,0,0,0
no checking account,15,critical account/other credits existing,radio/television,1520,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,63,none,own,1,skilled employee/official,1,no,yes,1,1,101.33333333333333,60+,7.326465613840322,225,1,1520.0,1,0,0,0
0 <= ... < 200 DM,24,critical account/other credits existing,car (new),3878,100 <= ... < 500 DM,... < 1 year,4,male : divorced/separated,none,2,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,1,161.58333333333334,31-45,8.263074835802596,576,1,3878.0,0,0,0,1
... < 100 DM,47,existing credits paid back duly till now,car (new),10722,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,real estate,35,none,own,1,unskilled - resident,1,yes,yes,1,1,228.12765957446808,31-45,9.280052984387483,2209,0,10722.0,0,0,0,1
... < 100 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,2,no,yes,1,1,99.75,18-30,8.473868066677865,2304,1,2394.0,0,0,0,1
0 <= ... < 200 DM,48,delay in paying off in the past,furniture/equipment,7582,100 <= ... < 500 DM,unemployed,2,male : single,none,4,unknown/no property,31,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,157.95833333333334,31-45,8.93353229607628,2304,0,7582.0,0,0,0,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1092,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,49,none,own,2,skilled employee/official,1,yes,yes,1,1,91.0,46-60,6.9957661563048505,144,1,1092.0,0,0,1,0
... < 100 DM,24,delay in paying off in the past,domestic appliances,1024,... < 100 DM,... < 1 year,4,male : married/widowed,none,4,real estate,48,stores,own,1,skilled employee/official,1,no,yes,0,0,42.666666666666664,46-60,6.931471805599453,576,1,1024.0,0,0,0,1
no checking account,12,existing credits paid back duly till now,others,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee/official,1,yes,no,1,1,89.66666666666667,18-30,6.98100574072173,144,0,1076.0,0,0,0,0
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (used),9398,... < 100 DM,... < 1 year,1,male : married/widowed,none,4,car or other,28,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,261.05555555555554,18-30,9.14825217966276,1296,0,9398.0,0,0,0,1
... < 100 DM,24,critical account/other credits existing,car (used),6419,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown/no property,44,none,for free,2,management/self-employed/highly qualified employee/officer,2,yes,yes,1,1,267.4583333333333,31-45,8.767017621311778,576,0,3209.5,0,0,1,1
... >= 200 DM / salary for at least 1 year,42,critical account/other credits existing,car (used),4796,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,56,none,for free,1,skilled employee/official,1,no,yes,1,1,114.19047619047619,46-60,8.475537516147405,1764,1,4796.0,0,0,0,1
no checking account,48,critical account/other credits existing,others,7629,unknown/no savings account,... >= 7 years,4,male : divorced/separated,none,2,car or other,46,bank,own,2,management/self-employed/highly qualified employee/officer,2,no,yes,1,1,158.9375,46-60,8.93971205409023,2304,1,3814.5,0,0,1,1
0 <= ... < 200 DM,48,existing credits paid back duly till now,radio/television,9960,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,2,car or other,26,none,own,1,skilled employee/official,1,yes,yes,0,0,207.5,18-30,9.206332350578643,2304,0,9960.0,0,0,0,1
no checking account,12,existing credits paid back duly till now,car (used),4675,unknown/no savings account,... < 1 year,1,female : divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,no,yes,1,1,389.5833333333333,18-30,8.449984441722787,144,0,4675.0,0,1,0,0
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/life insurance,45,none,own,1,unskilled - resident,1,no,no,1,1,128.7,31-45,7.160069207596127,100,1,1287.0,0,0,0,0
no checking account,18,existing credits paid back duly till now,radio/television,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee/official,1,yes,yes,1,1,139.72222222222223,31-45,7.83002808253384,324,1,2515.0,0,0,0,0
0 <= ... < 200 DM,21,critical account/other credits existing,radio/television,2745,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,yes,yes,1,1,130.71428571428572,31-45,7.917536353943631,441,1,2745.0,0,0,1,1
no checking account,6,existing credits paid back duly till now,car (new),672,... < 100 DM,unemployed,1,female : divorced/separated/married,none,4,real estate,54,none,own,1,unemployed/unskilled - non-resident,1,yes,yes,1,1,112.0,46-60,6.51025834052315,36,0,672.0,0,0,0,0
0 <= ... < 200 DM,36,no credits taken/all credits paid back duly,domestic appliances,3804,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,car or other,42,none,own,1,skilled employee/official,1,yes,yes,0,0,105.66666666666667,31-45,8.24380842366528,1296,1,3804.0,0,0,0,1
... >= 200 DM / salary for at least 1 year,24,critical account/other credits existing,car (new),1344,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,2,real estate,37,bank,own,2,unskilled - resident,2,no,yes,0,0,56.0,31-45,7.203405521083095,576,1,672.0,0,0,1,1
... < 100 DM,10,critical account/other credits existing,car (new),1038,... < 100 DM,4 <= ... < 7 years,4,male : single,co-applicant,3,building society savings agreement/life insurance,49,none,own,2,skilled employee/official,1,yes,yes,1,1,103.8,46-60,6.945051063725834,100,1,1038.0,0,0,1,0
no checking account,48,critical account/other credits existing,car (new),10127,500 <= ... < 1000 DM,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,44,bank,for free,1,skilled employee/official,1,no,yes,0,0,210.97916666666666,31-45,9.222960403332285,2304,0,10127.0,0,0,0,1
no checking account,6,existing credits paid back duly till now,radio/television,1543,... >= 1000 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,33,none,own,1,skilled employee/official,1,no,yes,1,1,257.1666666666667,31-45,7.341483852363161,36,1,1543.0,0,0,0,0
no checking account,30,existing credits paid back duly till now,car (used),4811,unknown/no savings account,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,24,stores,rent,1,unskilled - resident,1,no,yes,1,1,160.36666666666667,18-30,8.478660241699453,900,0,4811.0,0,1,0,1
... < 100 DM,12,existing credits paid back duly till now,domestic appliances,727,100 <= ... < 500 DM,... < 1 year,4,male : married/widowed,none,3,unknown/no property,33,none,own,1,unskilled - resident,1,yes,yes,0,0,60.583333333333336,31-45,6.588926477533519,144,1,727.0,0,0,0,0
0 <= ... < 200 DM,8,existing credits paid back duly till now,radio/television,1237,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,real estate,24,none,own,1,skilled employee/official,1,no,yes,0,0,154.625,18-30,7.1204443723924875,64,1,1237.0,0,1,0,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,car (new),276,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,22,none,rent,1,unskilled - resident,1,no,yes,1,1,30.666666666666668,18-30,5.62040086571715,81,1,276.0,0,1,0,0
0 <= ... < 200 DM,48,existing credits paid back duly till now,furniture/equipment,5381,unknown/no savings account,unemployed,3,male : single,none,4,unknown/no property,40,bank,for free,1,unemployed/unskilled - non-resident,1,yes,yes,1,1,112.10416666666667,31-45,8.59062950948942,2304,1,5381.0,0,0,0,1
no checking account,24,existing credits paid back duly till now,radio/television,5511,100 <= ... < 500 DM,1 <= ... < 4 years,4,male : single,none,1,car or other,25,stores,own,1,skilled employee/official,1,no,yes,1,1,229.625,18-30,8.614501373883236,576,1,5511.0,0,0,0,1
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,radio/television,3749,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,car or other,26,none,own,1,skilled employee/official,1,no,yes,1,1,156.20833333333334,18-30,8.229244416735913,576,0,3749.0,0,0,0,1
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),685,... < 100 DM,4 <= ... < 7 years,2,male : married/widowed,none,3,car or other,25,bank,own,1,unskilled - resident,1,no,yes,0,0,57.083333333333336,18-30,6.529418838262226,144,0,685.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,4,existing credits paid back duly till now,car (new),1494,unknown/no savings account,... < 1 year,1,male : single,none,2,real estate,29,none,own,1,unskilled - resident,2,no,no,1,1,373.5,18-30,7.309212365692763,16,0,747.0,0,0,0,0
... < 100 DM,36,all credits at this bank paid back duly,radio/television,2746,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,31,bank,own,1,skilled employee/official,1,no,yes,0,0,76.27777777777777,31-45,7.917900586327916,1296,1,2746.0,0,0,0,1
... < 100 DM,12,existing credits paid back duly till now,radio/television,708,... < 100 DM,1 <= ... < 4 years,2,male : single,guarantor,3,building society savings agreement/life insurance,38,none,own,1,unskilled - resident,2,no,yes,1,1,59.0,31-45,6.56244409369372,144,0,354.0,0,0,0,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,4351,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,48,none,own,1,unskilled - resident,1,yes,yes,1,1,181.29166666666666,46-60,8.37816098272068,576,0,4351.0,0,0,0,1
no checking account,12,critical account/other credits existing,retraining,701,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,32,none,own,2,skilled employee/official,1,no,yes,1,1,58.416666666666664,31-45,6.55250788703459,144,1,701.0,0,0,1,0
... < 100 DM,15,delay in paying off in the past,radio/television,3643,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,27,none,own,2,unskilled - resident,1,no,yes,1,1,242.86666666666667,18-30,8.200562797008564,225,0,3643.0,0,0,1,0
0 <= ... < 200 DM,30,critical account/other credits existing,car (new),4249,... < 100 DM,unemployed,4,male : married/widowed,none,2,car or other,28,none,own,2,management/self-employed/highly qualified employee/officer,1,no,yes,0,0,141.63333333333333,18-30,8.354438940114811,900,1,4249.0,0,0,1,1
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,1938,... < 100 DM,... < 1 year,4,male : divorced/separated,none,3,building society savings agreement/life insurance,32,none,own,1,skilled employee/official,1,no,yes,0,0,80.75,31-45,7.569411792450712,576,1,1938.0,0,0,0,1
... < 100 DM,24,existing credits paid back duly till now,car (used),2910,... < 100 DM,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,34,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,121.25,31-45,7.975908360165538,576,0,2910.0,0,0,0,1
... < 100 DM,18,existing credits paid back duly till now,radio/television,2659,... >= 1000 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,28,none,own,1,skilled employee/official,1,no,yes,1,1,147.72222222222223,18-30,7.88570539124302,324,1,2659.0,0,0,0,0
no checking account,18,critical account/other credits existing,car (new),1028,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,3,real estate,36,none,own,2,skilled employee/official,1,no,yes,1,1,57.111111111111114,31-45,6.93537044601511,324,1,1028.0,0,0,1,0
... < 100 DM,8,critical account/other credits existing,car (new),3398,... < 100 DM,4 <= ... < 7 years,1,male : single,none,4,real estate,39,none,own,2,unskilled - resident,1,no,no,1,1,424.75,31-45,8.130942302231878,64,0,3398.0,0,0,1,0
no checking account,12,critical account/other credits existing,radio/television,5801,unknown/no savings account,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,49,none,rent,1,skilled employee/official,1,yes,yes,1,1,483.4166666666667,46-60,8.665785595466064,144,0,5801.0,0,0,0,0
no checking account,24,existing credits paid back duly till now,car (new),1525,... >= 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,yes,yes,1,1,63.541666666666664,31-45,7.329749689041512,576,1,762.5,0,0,0,1
... >= 200 DM / salary for at least 1 year,36,existing credits paid back duly till now,domestic appliances,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,31,none,own,1,skilled employee/official,1,no,yes,1,1,124.25,31-45,8.405814603432848,1296,1,4473.0,0,0,0,1
0 <= ... < 200 DM,6,existing credits paid back duly till now,domestic appliances,1068,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,28,none,own,1,skilled employee/official,2,no,yes,1,1,178.0,18-30,6.97354301952014,36,1,534.0,0,0,0,0
... < 100 DM,24,critical account/other credits existing,car (used),6615,... < 100 DM,unemployed,2,male : single,none,4,unknown/no property,75,none,for free,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,275.625,60+,8.797095076549056,576,0,6615.0,1,0,1,1
no checking account,18,critical account/other credits existing,retraining,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee/official,1,no,yes,0,0,103.55555555555556,18-30,7.530479995245536,324,1,1864.0,0,0,1,0
0 <= ... < 200 DM,60,existing credits paid back duly till now,car (new),7408,100 <= ... < 500 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,24,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,0,123.46666666666667,18-30,8.910315776326016,3600,1,7408.0,0,1,0,1
no checking account,48,critical account/other credits existing,car (used),11590,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,24,bank,rent,2,unskilled - resident,1,no,yes,0,0,241.45833333333334,18-30,9.357897936333798,2304,0,11590.0,0,1,1,1
... < 100 DM,24,no credits taken/all credits paid back duly,radio/television,4110,... < 100 DM,... >= 7 years,3,male : single,none,4,unknown/no property,23,bank,rent,2,skilled employee/official,2,no,yes,0,0,171.25,18-30,8.32117830749028,576,1,2055.0,0,1,1,1
... < 100 DM,6,critical account/other credits existing,radio/television,3384,... < 100 DM,1 <= ... < 4 years,1,male : divorced/separated,none,4,real estate,44,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,564.0,31-45,8.126813720726114,36,0,3384.0,0,0,0,0
0 <= ... < 200 DM,13,existing credits paid back duly till now,domestic appliances,2101,... < 100 DM,... < 1 year,2,female : divorced/separated/married,guarantor,4,building society savings agreement/life insurance,23,none,own,1,unskilled - resident,1,no,yes,1,1,161.6153846153846,18-30,7.650168700845001,169,0,2101.0,0,1,0,0
... < 100 DM,15,existing credits paid back duly till now,repairs,1275,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,24,none,rent,1,skilled employee/official,1,no,yes,0,0,85.0,18-30,7.150701457592526,225,1,1275.0,0,1,0,0
... < 100 DM,24,existing credits paid back duly till now,radio/television,4169,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,building society savings agreement/life insurance,28,none,own,1,skilled employee/official,1,no,yes,1,1,173.70833333333334,18-30,8.335431477880796,576,1,4169.0,0,0,0,1
0 <= ... < 200 DM,10,existing credits paid back duly till now,radio/television,1521,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,car or other,31,none,own,1,unskilled - resident,1,no,yes,1,1,152.1,31-45,7.327123292259293,100,1,1521.0,0,0,0,0
0 <= ... < 200 DM,24,critical account/other credits existing,retraining,5743,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,4,unknown/no property,24,none,for free,2,skilled employee/official,1,yes,yes,1,1,239.29166666666666,18-30,8.655737000864297,576,0,5743.0,0,1,1,1
... < 100 DM,21,existing credits paid back duly till now,radio/television,3599,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,4,car or other,26,none,rent,1,unskilled - resident,1,no,yes,1,1,171.38095238095238,18-30,8.188411308079031,441,0,3599.0,0,0,0,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,domestic appliances,3213,500 <= ... < 1000 DM,... < 1 year,1,male : married/widowed,none,3,real estate,25,none,rent,1,skilled employee/official,1,no,yes,1,1,178.5,18-30,8.074960359115858,324,0,3213.0,0,0,0,0
0 <= ... < 200 DM,18,existing credits paid back duly till now,others,4439,... < 100 DM,... >= 7 years,1,male : single,co-applicant,1,real estate,33,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,246.61111111111111,31-45,8.398184404834035,324,0,4439.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),3949,... < 100 DM,... < 1 year,1,male : single,guarantor,1,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,2,no,yes,1,1,394.9,31-45,8.28121766128665,100,0,1974.5,0,0,0,0
no checking account,15,critical account/other credits existing,domestic appliances,1459,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,43,none,own,1,unskilled - resident,1,no,yes,1,1,97.26666666666667,31-45,7.285506548522785,225,1,1459.0,0,0,0,0
0 <= ... < 200 DM,13,critical account/other credits existing,domestic appliances,882,... < 100 DM,... < 1 year,4,male : single,guarantor,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1,1,67.84615384615384,18-30,6.782192056006791,169,1,882.0,0,1,1,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,domestic appliances,3758,500 <= ... < 1000 DM,unemployed,1,female : divorced/separated/married,none,4,unknown/no property,23,none,rent,1,unemployed/unskilled - non-resident,1,no,yes,1,1,156.58333333333334,18-30,8.231642179973411,576,0,3758.0,0,1,0,1
no checking account,6,delay in paying off in the past,others,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1,no,yes,1,1,290.5,31-45,7.463363045520021,36,0,1743.0,0,0,1,0
0 <= ... < 200 DM,9,critical account/other credits existing,retraining,1136,... >= 1000 DM,... >= 7 years,4,male : single,none,3,unknown/no property,32,none,for free,2,skilled employee/official,2,no,yes,0,0,126.22222222222223,31-45,7.035268599281097,81,1,568.0,0,0,1,0
no checking account,9,existing credits paid back duly till now,repairs,1236,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,yes,yes,1,1,137.33333333333334,18-30,7.119635638017636,81,0,1236.0,0,1,0,0
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,959,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,car or other,29,none,own,1,skilled employee/official,1,no,no,0,0,106.55555555555556,18-30,6.8658910748834385,81,0,959.0,0,0,0,0
no checking account,18,critical account/other credits existing,car (used),3229,unknown/no savings account,unemployed,2,male : single,none,4,unknown/no property,38,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,1,179.38888888888889,31-45,8.079927770758275,324,0,3229.0,0,0,0,0
... < 100 DM,12,no credits taken/all credits paid back duly,domestic appliances,6199,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,28,none,rent,2,skilled employee/official,1,yes,yes,0,0,516.5833333333334,18-30,8.73214326770192,144,1,6199.0,0,0,1,0
no checking account,10,existing credits paid back duly till now,retraining,727,500 <= ... < 1000 DM,... >= 7 years,4,male : single,none,4,unknown/no property,46,none,for free,1,skilled employee/official,1,yes,yes,1,1,72.7,46-60,6.588926477533519,100,1,727.0,0,0,0,0
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1246,... < 100 DM,... < 1 year,4,male : single,none,2,real estate,23,stores,own,1,unskilled - resident,1,no,yes,0,0,51.916666666666664,18-30,7.1276936993473985,576,1,1246.0,0,1,0,1
no checking account,12,critical account/other credits existing,domestic appliances,2331,unknown/no savings account,... >= 7 years,1,male : single,co-applicant,4,real estate,49,none,own,1,skilled employee/official,1,yes,yes,1,1,194.25,46-60,7.754052639035757,144,0,2331.0,0,0,0,0
no checking account,36,delay in paying off in the past,domestic appliances,4463,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,car or other,26,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,0,0,123.97222222222223,18-30,8.40357646462927,1296,1,4463.0,0,0,1,1
no checking account,12,existing credits paid back duly till now,domestic appliances,776,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee/official,1,no,yes,1,1,64.66666666666667,18-30,6.654152520183219,144,1,776.0,0,0,0,0
... < 100 DM,30,existing credits paid back duly till now,radio/television,2406,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0,0,80.2,18-30,7.785720896534624,900,1,2406.0,0,1,0,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,retraining,1239,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,61,none,for free,1,skilled employee/official,1,no,yes,1,1,68.83333333333333,60+,7.122059881629142,324,1,1239.0,1,0,0,0
... >= 200 DM / salary for at least 1 year,12,existing credits paid back duly till now,domestic appliances,3399,unknown/no savings account,... >= 7 years,2,male : single,none,3,car or other,37,none,own,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,1,283.25,31-45,8.131236549696116,144,0,3399.0,0,0,0,0
... >= 200 DM / salary for at least 1 year,12,delay in paying off in the past,car (new),2247,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,car or other,36,stores,own,2,skilled employee/official,1,yes,yes,1,1,187.25,31-45,7.717351272185329,144,0,2247.0,0,0,1,0
no checking account,6,existing credits paid back duly till now,radio/television,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,no,yes,1,1,294.3333333333333,18-30,7.476472381163905,36,0,1766.0,0,1,0,0
... < 100 DM,18,existing credits paid back duly till now,radio/television,2473,... < 100 DM,unemployed,4,male : single,none,1,car or other,25,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0,0,137.38888888888889,18-30,7.813187267521416,324,1,2473.0,0,0,0,0
no checking account,12,existing credits paid back duly till now,others,1542,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,36,none,own,1,skilled employee/official,1,yes,yes,1,1,128.5,31-45,7.340835554123275,144,0,1542.0,0,0,0,0
no checking account,18,critical account/other credits existing,car (used),3850,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,27,none,own,2,skilled employee/official,1,no,yes,1,1,213.88888888888889,18-30,8.25582842728183,324,1,3850.0,0,0,1,0
... < 100 DM,18,existing credits paid back duly till now,radio/television,3650,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1,1,202.77777777777777,18-30,8.202482446576537,324,0,3650.0,0,1,0,0
... < 100 DM,36,existing credits paid back duly till now,radio/television,3446,... < 100 DM,... >= 7 years,4,male : single,none,2,car or other,42,none,own,1,skilled employee/official,2,no,yes,0,0,95.72222222222223,31-45,8.144969417087875,1296,1,1723.0,0,0,0,1
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,3001,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,real estate,40,none,rent,1,skilled employee/official,1,no,yes,1,1,166.72222222222223,31-45,8.006700845440367,324,0,3001.0,0,0,0,0
